order_id,user_id,order_date,status,gross_amount,credit,currency,channel
O01221,U0147,21-02-2026,delivered,376.81,0,INR,ios
O01420,U0337,12-12-2025,delivered,2408.03,0,INR,web
O00169,U0206,27-03-2025,shipped,395.66,39.57,INR,ios
O01807,U0132,03-06-2026,delivered,1713.72,0,INR,web
O00274,U0204,27-09-2025,returned,971.81,0,INR,android
O01161,U0122,05-07-2026,cancelled,755.07,0,INR,android
O00356,U0184,31-07-2025,delivered,2470.4,0,INR,ios
O01403,U0070,06-05-2026,delivered,6.88,1.03,USD,ios
O00867,U0298,02-07-2026,placed,6.7,0,USD,web
O01308,U0114,17-04-2026,shipped,1973.69,394.74,INR,ios
O01054,U0025,20-08-2025,shipped,1175.96,0,INR,ios
O01835,U0347,02-05-2026,delivered,61.54,0,USD,android
O01061,U0184,18-03-2025,shipped,1974.68,197.47,INR,web
O01225,U0062,27-05-2026,placed,20.76,0,USD,ios
O00996,U0113,27-05-2026,delivered,840.06,0,INR,ios
O00573,U0386,27-06-2026,delivered,2453.66,0,INR,web
O00656,U0352,26-10-2025,placed,1768.33,0,INR,web
O01891,U0296,30-12-2025,returned,2262.7,226.27,INR,web
O01749,U0396,03-01-2026,delivered,5422.72,813.41,INR,ios
O01251,U0344,26-02-2026,returned,11.61,0,USD,android
O01249,U0389,21-07-2026,delivered,393.5,78.7,INR,web
O01981,U0364,06-01-2026,returned,2630.26,0,INR,web
O01615,U0050,30-03-2026,shipped,10.79,0,USD,android
O00413,U0029,30-06-2026,delivered,9.49,1.42,USD,web
O01463,U0110,08-06-2026,returned,29.36,1.47,USD,web
O01656,U0158,22-07-2026,cancelled,893.17,0,INR,web
O00832,U0127,15-09-2025,delivered,534.62,0,INR,web
O00330,U0083,08-06-2025,shipped,383.05,0,INR,android
O01919,U0044,18-06-2026,returned,397.41,0,INR,ios
O01068,U0041,20-11-2025,delivered,711.63,0,INR,web
O02069,U0064,05-04-2026,cancelled,1925.34,385.07,INR,ios
O00964,U0053,30-10-2025,returned,3599.91,539.99,INR,web
