payment_id,order_id,paid_at,method,amount,wallet_applied,status,currency
P02387,O00528,2026-05-19T18:27:00Z,upi,42.38,0,captured,USD
P00216,O00286,2026-06-28T08:39:00+05:30,netbanking,57.63,0.11,captured,USD
P01419,O00167,06-04-2025 14:08,netbanking,2327.6,0,captured,INR
P02526,O00119,2025-11-24T00:09:00+05:30,upi,364.21,0,captured,INR
P02373,O00408,2026-07-06T01:21:00+05:30,upi,484.42,0,captured,INR
P00277,O00553,2026-01-15T21:40:00+05:30,wallet,2703.5,0,captured,INR
P00274,O01561,2026-03-28T16:21:00+05:30,card,1880.25,0,captured,INR
P00842,O01131,15-11-2025 12:33,wallet,2637.34,0,captured,INR
P01240,O00960,2026-05-22T11:45:00+05:30,cod,884.92,0,refunded,INR
P00226,O00470,2026-04-27T12:21:00+05:30,wallet,23.11,0,failed,USD
P02434,O00249,22-02-2026 22:46,wallet,1402.86,0,captured,INR
P02043,O02017,05-07-2026 02:50,upi,641.32,0,captured,INR
P00224,O01500,2025-09-24T11:55:00Z,upi,6.79,0.03,captured,USD
P00680,O01038,30-01-2026 15:49,,14.69,0.07,captured,USD
P01609,O01529,2026-07-06T12:26:00Z,upi,2803.44,0,captured,INR
P01176,O01811,2026-06-25T23:22:00+05:30,card,693.48,0,captured,INR
P00348,O00107,2026-02-09T08:58:00+05:30,card,8,0,captured,USD
P01376,O00451,2025-09-04T10:26:00+05:30,card,1948.05,0,refunded,INR
P00412,O00732,24-06-2026 01:06,card,716.54,0,captured,INR
P01066,O01342,2026-07-13T22:55:00+05:30,card,,0,captured,INR
P02282,O01316,28-09-2025 18:30,netbanking,1840.63,0,captured,INR
P00147,O01060,2026-07-02T00:12:00Z,card,1026.6,0,captured,INR
P01140,O01116,2025-04-29T12:17:00+05:30,cod,541.42,0,captured,INR
P01982,O00191,26-11-2025 07:11,card,3169.67,0,failed,INR
P01458,O01325,2026-06-28T10:59:00+05:30,wallet,2417.47,0,failed,INR
P02775,O00886,28-12-2025 10:57,upi,3310.49,0,captured,INR
P00250,O00462,2025-12-06T06:29:00Z,upi,526.03,0,captured,INR
